Rouge-L-P,Rouge-L-R,Rouge-L-F,Rouge-2-P,Rouge-2-R,Rouge-2-F
0.4294117647058823,0.14680986766874174,0.14680986766874174,0.20625,0.05996878548990446,0.05996878548990446
0.44803921568627453,0.13330719575932176,0.13330719575932176,0.1849431818181818,0.050557823871788934,0.050557823871788934
0.4617086834733895,0.13815952779743004,0.13815952779743004,0.2119401431901432,0.05888941546029119,0.058889415460291174
0.44807889822595726,0.1417636552861565,0.1417636552861565,0.2034894211180976,0.06016569681178816,0.06016569681178816
0.35846311858076585,0.11341092422892521,0.11341092422892521,0.16279153689447806,0.04813255744943053,0.04813255744943053
0.29871926548397154,0.09450910352410434,0.09450910352410434,0.13565961407873173,0.04011046454119211,0.04011046454119211
0.2789022275576899,0.08699015019293939,0.08699015019293939,0.134368723013681,0.038830511556849474,0.038830511556849474
0.2722931255835669,0.08444254860395088,0.08444254860395088,0.1352437635893518,0.0385726225206682,0.0385726225206682
0.2653716671853928,0.08178016335559417,0.08178016335559417,0.1379896465190583,0.03907072619121124,0.03907072619121124
0.29399626517273586,0.09317526599562624,0.09317526599562624,0.1599883009147715,0.04699414868511509,0.04699414868511509
0.28934030912640546,0.09091967121838236,0.09091967121838236,0.16101209174070139,0.04665968228783356,0.04665968228783356
0.2670143309849193,0.0838865102110534,0.0838865102110534,0.14759441742897625,0.0427713754305141,0.0427713754305141
0.24647476706300242,0.07743370173328006,0.07743370173328006,0.1362410007036704,0.03948126962816686,0.03948126962816686
0.2721996753246754,0.0859513291530332,0.0859513291530332,0.15496850488447125,0.044819134931782634,0.044819134931782634
0.2540530303030304,0.08022124054283099,0.08022124054283099,0.14463727122550651,0.04183119260299713,0.04183119260299713
0.24710328733766246,0.07770994081476856,0.07770994081476856,0.14320233687880746,0.04120087004943679,0.04120087004943679
0.2577609947722405,0.08281213854848124,0.08281213854848124,0.15073846568656254,0.044667200078411934,0.044667200078411934
0.27791125541125544,0.09025165517456177,0.09025165517456177,0.16731781018545722,0.05032025357001399,0.05032025357001399
0.2632843472317157,0.08550156806011114,0.08550156806011114,0.15851160964938052,0.047671819171592196,0.047671819171592196
0.2539383116883117,0.08232416407571023,0.08232416407571023,0.1530146005954829,0.04596850032185612,0.04596850032185612
0.2708744558429433,0.08801892102529978,0.08801892102529978,0.16677052172850487,0.050230397917151524,0.050230397917151524
0.26021487313933844,0.0843816973423316,0.0843816973423316,0.1600991343772092,0.04813272676878378,0.04813272676878378
0.2763186717374697,0.09072536960824373,0.09072536960824373,0.17348288540104392,0.05381894378945025,0.05381894378945025
0.2886326367668279,0.09506439223379194,0.09506439223379194,0.18190490983689506,0.05674773104810969,0.05674773104810969
0.27708733129615476,0.09126181654444027,0.09126181654444027,0.17462871344341926,0.0544778218061853,0.0544778218061853
0.2862491307711895,0.09499769437582546,0.09499769437582546,0.18243207960968136,0.057324636046674385,0.057324636046674385
0.2915006153976741,0.09638521718906956,0.09638521718906956,0.1870289514407161,0.05851965805065458,0.05851965805065458
0.2937668249117828,0.09779167409926073,0.09779167409926073,0.1890779091356822,0.05964854456820315,0.05964854456820315
0.3023922615023019,0.10097041425094838,0.10097041425094838,0.1939178198407407,0.061488610787048245,0.061488610787048245
0.31219638259344124,0.10427022222874155,0.10427022222874155,0.20201605828811706,0.06400190539553646,0.06400190539553646
0.3021255315420399,0.1009066666729757,0.1009066666729757,0.1954994112465649,0.061937327802132056,0.061937327802132056
0.3084739928168235,0.10330104816001487,0.10330104816001487,0.19846929571653832,0.06318322328087775,0.06318322328087775
0.2991262960647985,0.10017071336728714,0.10017071336728714,0.19245507463421896,0.061268580151154176,0.061268580151154176
0.29176661261652587,0.09772383192078006,0.09772383192078006,0.18718678812536937,0.059586611107092624,0.059586611107092624
0.2834304236846251,0.0949317224373292,0.0949317224373292,0.18183859417893025,0.05788413650403283,0.05788413650403283
0.2878360872968714,0.09563296371503444,0.09563296371503444,0.1850927469861293,0.05840992490863487,0.05840992490863487
0.2969724728548255,0.09878107527283791,0.09878107527283791,0.19203083350142172,0.0605599155298403,0.0605599155298403
0.3042485782191661,0.10126421504073607,0.10126421504073607,0.19660609514324684,0.062130492579871605,0.062130492579871605
0.30079984285866607,0.10002641585252017,0.10002641585252017,0.19335814135587892,0.06107879313184145,0.06107879313184145
0.30513430788982226,0.10116878969518782,0.10116878969518782,0.19600999368278788,0.061616774223184526,0.061616774223184526
0.3037656566691714,0.10052512991843833,0.10052512991843833,0.19482246770446207,0.06110617888246767,0.06110617888246767
0.3088214300871861,0.10253826553192089,0.10253826553192089,0.19828907961786124,0.062385443548282335,0.062385443548282335
0.3130724650406591,0.10315712655333718,0.10315712655333718,0.201263153171498,0.06281503017991551,0.06281503017991551
0.31032883949829115,0.1022235645715978,0.1022235645715978,0.19896848194140987,0.06209002872097186,0.06209002872097186
0.3034326430649958,0.09995192980334007,0.09995192980334007,0.19454696012048964,0.06071025030495026,0.06071025030495026
0.3098867623212251,0.10218567130226652,0.10218567130226652,0.19989493988534918,0.06239062992738019,0.06239062992738019
0.3081000033550095,0.10131055877356919,0.10131055877356919,0.19817478412284428,0.06172093494991241,0.06172093494991241
0.3131945479969376,0.10296945334841806,0.10296945334841806,0.20142247305390698,0.06274615951587562,0.06274615951587562
0.31924579971848865,0.10467105185853282,0.10467105185853282,0.2062917334766075,0.06394010984271975,0.06394010984271975
0.32405263315116234,0.10638794456485616,0.10638794456485616,0.20965908062525718,0.06507412665471046,0.06507412665471046
0.3271180224683683,0.10764908830045394,0.10764908830045394,0.21264754997021443,0.06614959796201829,0.06614959796201829
0.3271413938311561,0.10816410394158284,0.10816410394158284,0.21263326558434034,0.06649105613386226,0.06649105613386226
0.3314850079320111,0.1098434010363718,0.1098434010363718,0.21532872140807777,0.06750218198704637,0.06750218198704637
0.33653673139375734,0.11198775252905789,0.11198775252905789,0.21955243195439283,0.06944952305408598,0.06944952305408598
0.34062222462623515,0.11315905161241206,0.11315905161241206,0.22214036097592257,0.07017914577927852,0.07017914577927852
0.3447182563293381,0.11453883216622816,0.11453883216622816,0.22455885020091962,0.07101921251920863,0.07101921251920863
0.3481600891082313,0.11539167528775185,0.11539167528775185,0.22681953409507594,0.0714423556410277,0.0714423556410277
0.34982032518416883,0.11620807414327256,0.11620807414327256,0.2275866353896274,0.07188276888306637,0.07188276888306637
0.35318708888873374,0.11720797475202585,0.11720797475202585,0.23001648567451174,0.07251216103907664,0.07251216103907664
0.35271426952676926,0.11677252320440182,0.11677252320440182,0.2302224838070428,0.07239052412687984,0.07239052412687984
0.35622673707413316,0.11815765858288792,0.11815765858288792,0.2325661613378587,0.07330316669045013,0.07330316669045013
0.3504811445406794,0.11625188989606715,0.11625188989606715,0.22881509421950616,0.07212085755028158,0.07212085755028158
0.35372769789086284,0.11719478595349055,0.11719478595349055,0.23043134580949726,0.07246116360774343,0.07246116360774343
0.35804033117107537,0.11868279093790808,0.11868279093790808,0.23427765019906582,0.0736742485814334,0.0736742485814334
0.3547944618227421,0.1175013554321857,0.1175013554321857,0.2325003017344648,0.07301890511213324,0.07301890511213324
0.34941878815876115,0.11572103186503138,0.11572103186503138,0.2289775698900032,0.0719125580649797,0.0719125580649797
0.35393726688393035,0.1171897029469506,0.1171897029469506,0.23302025783698316,0.07310056714086943,0.07310056714086943
0.3572723775167545,0.1187363103764406,0.1187363103764406,0.23560047867357573,0.07450463184400552,0.07450463184400552
0.36070938320938295,0.11986139325989606,0.11986139325989606,0.2379147007439848,0.07521272371335845,0.07521272371335845
0.3630528315055624,0.12038484546551206,0.12038484546551206,0.2394922346561004,0.07549946138085094,0.07549946138085094
0.36592205318385906,0.12145693282026565,0.12145693282026565,0.24160947689427412,0.07638894476267646,0.07638894476267646
0.3627991013162579,0.12083882942515213,0.12083882942515213,0.23953603177867902,0.07602864757763969,0.07602864757763969
0.3650865507936416,0.12171300920327856,0.12171300920327856,0.24059700640482287,0.07645225528142242,0.07645225528142242
0.36841757893228444,0.12287680184693922,0.12287680184693922,0.2430697856065505,0.07726277257082224,0.07726277257082224
0.3715509561244851,0.1240084962382677,0.1240084962382677,0.24555043910338045,0.07807997538556596,0.07807997538556596
0.37398288061697454,0.12527144477952595,0.12527144477952595,0.2472467589814728,0.07915553291420992,0.07915553291420992
0.37527364643674754,0.12587064908832812,0.12587064908832812,0.24775947887101457,0.07944500571667766,0.07944500571667766
0.3755708545895193,0.12566359760291812,0.12566359760291812,0.2476912865289564,0.07921663786972291,0.07921663786972291
0.3713380142857056,0.12425013434212169,0.12425013434212169,0.24471418163618477,0.07826556185432214,0.07826556185432214
0.3732522531594219,0.12499282384699814,0.12499282384699814,0.24570247552692423,0.07862414245556534,0.07862414245556534
0.37531130744910657,0.12572148805196928,0.12572148805196928,0.24687540189174192,0.07903632271788787,0.07903632271788787
0.377074608099536,0.12645567704233104,0.12645567704233104,0.2479337263645013,0.07946688116179962,0.07946688116179962
0.3794595466742876,0.12738731160046296,0.12738731160046296,0.24925810487646088,0.08000902534566348,0.08000902534566348
0.38231006271972623,0.1282521448875547,0.1282521448875547,0.251758064531174,0.08069306492277536,0.08069306492277536
0.38479851636252993,0.12896998277217997,0.12896998277217997,0.25351412428402076,0.08118054097879542,0.08118054097879542
0.38592831017591595,0.1294788070927217,0.1294788070927217,0.2538812458631203,0.08138310642808436,0.08138310642808436
0.38697804111597195,0.12993560359060932,0.12993560359060932,0.2542194024141288,0.08156048974881822,0.08156048974881822
0.38818402445742,0.13043454890281395,0.13043454890281395,0.25479883112653856,0.08180068655023055,0.08180068655023055
0.3900276676763788,0.13134911633101962,0.13134911633101962,0.25594541996888354,0.08255587123475461,0.08255587123475461
0.39162200771269395,0.13188840756180303,0.13188840756180303,0.256785083652731,0.08282140518225596,0.08282140518225596
0.392823895113003,0.13232937299117073,0.13232937299117073,0.25729006180202074,0.08301958063408083,0.08301958063408083
0.39467846953061136,0.13294867999079496,0.13294867999079496,0.258534873853768,0.08343592440496722,0.08343592440496722
0.39595439673475713,0.13336273577972738,0.13336273577972738,0.2592410306855282,0.083661028370253,0.083661028370253
0.39703628887452397,0.1338453726356665,0.1338453726356665,0.2598267986706663,0.08390228620520497,0.08390228620520497
0.39672213046671223,0.13340442809745112,0.13340442809745112,0.2599571643526756,0.08368117813500871,0.08368117813500871
0.3974527618691219,0.1337315247325929,0.1337315247325929,0.2602147015566137,0.0838157613796195,0.0838157613796195
0.3991669859013701,0.13426925972887124,0.13426925972887124,0.26136447189358086,0.08415028825643273,0.08415028825643273
0.4008684489446791,0.13485430655792516,0.13485430655792516,0.26272048404776543,0.08460431409474767,0.08460431409474767
0.40236492529718876,0.13539746613602802,0.13539746613602802,0.263659214127129,0.08493192382666086,0.08493192382666086
0.4036012200218079,0.1358372987544529,0.1358372987544529,0.2643133729016086,0.08517945195217107,0.08517945195217107
0.4043110506913648,0.13617265315992777,0.13617265315992777,0.26435729990258283,0.08526636442981962,0.08526636442981962
